,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
0,0,2010-01-01,3MINDIA,1779.0522472344055,1797.1279468851717,1660.49308714311,1752.626708984375,12140,
1,1,2010-02-01,3MINDIA,1702.0053982863988,2033.3923726983987,1702.0053982863988,1936.799072265625,7209,
2,2,2010-03-01,3MINDIA,1936.79908714475,2274.4010988343657,1926.171977736238,2098.056640625,9144,
3,3,2010-04-01,3MINDIA,2107.498017012269,2277.24776842194,2107.498017012269,2194.5078125,15738,
4,4,2010-05-01,3MINDIA,2239.246125711524,2618.8349053313013,2113.475584199038,2410.703857421875,44255,
5,5,2010-06-01,3MINDIA,2410.7037147376163,2775.395523445672,2315.2017357974155,2625.14453125,44062,
6,6,2010-07-01,3MINDIA,2585.6724013578296,3415.8714438625307,2585.6724013578296,3309.315185546875,30164,
7,7,2010-08-01,3MINDIA,3316.241804229434,3392.150057259006,3017.4005469143576,3145.543212890625,15293,
8,8,2010-09-01,3MINDIA,3178.6582550830126,3837.969001041304,3131.215594559386,3762.34521484375,47529,
9,9,2010-10-01,3MINDIA,3814.389996491116,4343.138460556956,3558.199623592459,3667.365234375,38334,
10,10,2010-11-01,3MINDIA,3983.2856643392697,3983.2856643392697,3347.5540313932693,3414.922607421875,41248,
11,11,2010-12-01,3MINDIA,3509.048854833678,3795.412796673409,3131.2155572555625,3455.106689453125,6195,
12,12,2011-01-01,3MINDIA,3463.3616398049257,3586.760043755768,3150.2400864436054,3315.625244140625,4815,
13,13,2011-02-01,3MINDIA,3316.241959303129,3415.8715460633093,2941.444942443405,3115.132568359375,105852,
14,14,2011-03-01,3MINDIA,3177.709495798484,3223.1594732620715,2973.706049517005,3192.6064453125,5313,72.91270538238453
15,15,2011-04-01,3MINDIA,3201.4307613606343,4060.8073072538687,3167.272045471784,3897.130126953125,11246,78.1809516665829
16,16,2011-05-01,3MINDIA,4013.6491386213593,4111.428278058495,3662.573445645023,3728.898193359375,116210,74.45700440763126
17,17,2011-06-01,3MINDIA,3785.924261770911,4146.441219840632,3677.849975130173,3973.1328125,6150,76.22737117474992
18,18,2011-07-01,3MINDIA,3975.69519327419,4444.428707707949,3840.056664932232,4270.978515625,9869,78.21073672584845
19,19,2011-08-01,3MINDIA,4235.964743468121,4649.380227824266,3795.412430876951,4367.19140625,168799,78.82530388583818
20,20,2011-09-01,3MINDIA,4367.191703196636,4526.9784847398005,3899.786537891549,3943.813232421875,5939,69.53159846664624
21,21,2011-10-01,3MINDIA,3896.9401887785993,4262.24867981336,3850.446380828721,4051.6982421875,5482,70.48650574395342
22,22,2011-11-01,3MINDIA,3985.1835457952784,4452.968185813629,3468.106027059065,3619.49560546875,15105,62.09092653409451
23,23,2011-12-01,3MINDIA,3652.9898130515926,3676.806120844183,3227.0497076105976,3362.783203125,4314,57.69522049507286
24,24,2012-01-01,3MINDIA,3405.2443825260875,3794.4639156390062,3132.211876468292,3413.736572265625,5622,58.32585529792814
25,25,2012-02-01,3MINDIA,3377.917554995888,3833.367112972862,3245.078100585937,3605.642333984375,10495,60.70192701717288
26,26,2012-03-01,3MINDIA,3653.084784874622,3966.206337863875,3365.819481336754,3470.383056640625,13420,58.18390542105111
27,27,2012-04-01,3MINDIA,3477.54696836084,4420.707046546563,3477.54696836084,3876.017822265625,8720,63.124183628264305
28,28,2012-05-01,3MINDIA,3796.3615594644352,3985.183341602256,3339.0618173462976,3406.6201171875,7466,55.02309427627392
29,29,2012-06-01,3MINDIA,3416.8203890902614,3709.968540262853,3339.014426328417,3688.9990234375,3922,58.475545538424356
30,30,2012-07-01,3MINDIA,3560.23927783112,3907.709488999018,3439.6401806547906,3507.29345703125,8521,55.522128650082834
31,31,2012-08-01,3MINDIA,3510.804394295806,3985.183514129092,3497.6151955783034,3840.4833984375,5976,59.555922837028916
32,32,2012-09-01,3MINDIA,3796.551591948227,3985.183665093372,3795.41301437464,3840.34130859375,11274,59.55344237576362
33,33,2012-10-01,3MINDIA,3909.2279976423256,3967.5824705018617,3615.130757639543,3639.46875,12880,56.00239589906628
34,34,2012-11-01,3MINDIA,3611.85715581042,3918.7636737074654,3463.3141426228203,3905.57470703125,19853,59.45176822943872
35,35,2012-12-01,3MINDIA,3985.183626772342,3985.2308841116665,3700.622631417357,3853.81494140625,29155,58.491209251345126
36,36,2013-01-01,3MINDIA,3853.815021196219,4006.0584810927135,3700.622708035609,3758.834716796875,20662,56.6814298883613
37,37,2013-02-01,3MINDIA,3832.418170649184,3832.418170649184,3320.986283058218,3341.1494140625,24090,49.43723843544641
38,38,2013-03-01,3MINDIA,3499.3707407160923,3597.5295618276346,3132.164537717956,3564.3671875,36075,52.90157269643589
