,date,symbol,open,high,low,close,volume,rsi
0,2010-01-01,DHANI,14.364681880461818,15.680052225548554,12.255912726865096,12.65261173248291,60539784,
1,2010-02-01,DHANI,13.153707874999371,13.48777068700024,11.921852551317292,13.04931354522705,24534484,
2,2010-03-01,DHANI,13.049313229360973,14.406442672649185,11.253728249461703,11.60866928100586,33827075,
3,2010-04-01,DHANI,11.67130570388109,13.926226867943315,11.608669425663138,13.67568016052246,32971587,
4,2010-05-01,DHANI,13.696559346544882,14.26028984349976,11.880095297773083,13.04931354522705,31099520,
5,2010-06-01,DHANI,13.132827799851936,13.50864781254135,11.003180264004166,11.39987850189209,33457983,
6,2010-07-01,DHANI,12.162236066359291,13.414230654230884,11.64802340892942,11.670380592346191,20304570,
7,2010-08-01,DHANI,11.737452327851267,12.341092021038351,10.709027850478298,10.753742218017578,18923075,
8,2010-09-01,DHANI,10.776097491136497,12.832946244144331,10.731383981701407,12.184592247009276,24861300,
9,2010-10-01,DHANI,12.318735778388396,13.68251546082602,11.961022542973469,12.050451278686523,43395394,
10,2010-11-01,DHANI,12.58823463474118,13.606400489452632,9.765138039741634,10.80644416809082,18341816,
11,2010-12-01,DHANI,10.806441715152843,11.43122454344683,9.487454369788331,10.436199188232422,12121580,
12,2011-01-01,DHANI,10.551900232398284,11.107264053613752,7.404842555138982,8.908950805664062,19064841,
13,2011-02-01,DHANI,8.654411647820007,9.672577568100952,7.196583150971807,7.6362457275390625,11629839,
14,2011-03-01,DHANI,7.867646692840058,7.89078696791291,7.0114618168724165,7.404844284057617,12216648,30.675330573430344
15,2011-04-01,DHANI,7.404844778958144,8.862673811578897,7.335424390910554,7.5668253898620605,15781913,31.554677609561683
16,2011-05-01,DHANI,7.659385734844083,7.659385734844083,6.016435536231311,6.155276298522949,8096644,28.198017391132563
17,2011-06-01,DHANI,6.24783695398759,7.636245460525262,5.877594773939673,6.155276298522949,12756250,28.198017391132563
18,2011-07-01,DHANI,6.247835821449298,6.548657565821771,5.785033069828485,5.831313610076904,6809728,27.421583404994855
19,2011-08-01,DHANI,5.854454323618566,5.923874702677403,3.8412624472910495,4.234644889831543,9979101,23.925010370054352
20,2011-09-01,DHANI,4.234645503941136,4.535467337424912,3.841263004352191,3.9106833934783936,7009362,23.27647952964185
21,2011-10-01,DHANI,3.910683082881429,3.9801034664940778,3.3553195721695763,3.4016001224517822,7439003,22.255547353127042
22,2011-11-01,DHANI,3.447880309689275,3.8412625409121546,2.799956387839762,3.0776379108428955,12938286,21.606096749297844
23,2011-12-01,DHANI,3.193338745218549,3.3090394500053444,2.3140136539252807,2.684255599975586,5704068,20.811905943382136
24,2012-01-01,DHANI,2.684255341616849,4.720587063876466,2.661115291248838,3.7949819564819336,11219237,28.77295663564816
25,2012-02-01,DHANI,3.794981579863954,6.178415146541028,3.748701041910276,4.836287498474121,5778932,35.336323469427164
26,2012-03-01,DHANI,4.7900080593280885,4.905708988943047,3.956963486791477,4.257784843444824,5793608,33.48999605800116
27,2012-04-01,DHANI,4.165225114814933,4.419766836151473,3.6098615599946178,3.9106833934783936,2425529,32.39624670775893
28,2012-05-01,DHANI,3.910683140996162,4.280925781513163,3.285899237387055,3.679281711578369,2460221,31.654037077539503
29,2012-06-01,DHANI,3.679281681161654,3.980103492736816,3.4710205289505414,3.980103492736816,1950869,33.77806965800986
30,2012-07-01,DHANI,4.072664298238547,4.581747280292031,3.609861426622406,3.656141757965088,5230064,32.60297027992129
31,2012-08-01,DHANI,3.656142088981965,3.794983095580287,3.054498610677339,3.239619731903076,8699841,31.104684986957903
32,2012-09-01,DHANI,3.2396192609036683,4.23464511521474,3.216478765143576,3.887543201446533,7159244,36.0294746698246
33,2012-10-01,DHANI,3.887542549701164,5.368511055909115,3.818121736775247,4.604886531829834,29398222,41.05341725867165
34,2012-11-01,DHANI,5.00995483360147,6.052635640933454,4.730210965510293,5.849185466766357,12709564,48.594847990836385
35,2012-12-01,DHANI,5.823754291546004,6.561260289291531,5.391423055473303,5.722029209136963,10665754,47.92014761510554
36,2013-01-01,DHANI,5.772890791741424,6.510396698038204,5.6711662075002565,5.747459888458252,25103075,48.075421568485524
37,2013-02-01,DHANI,6.332378953485787,6.636554578449352,5.005067615427296,5.03272008895874,11484682,44.09614455295225
38,2013-03-01,DHANI,5.115677899199256,5.530462393959969,4.2861081177366085,4.507326602935791,7871429,41.38445648917994
39,2013-04-01,DHANI,4.5626307746812005,6.857772927039077,4.534978828529004,6.636554718017578,14933263,53.787331080091704
40,2013-05-01,DHANI,6.636555314842868,6.802469118519814,5.530462586382112,6.360031604766846,11323313,52.24130262635215
41,2013-06-01,DHANI,6.847717611726599,7.179545591130641,5.641071042210717,6.42539119720459,4117335,52.588188502537406
42,2013-07-01,DHANI,6.576222488314046,7.782869091213668,5.731570211858671,7.20971155166626,11417831,56.6566092601297
43,2013-08-01,DHANI,7.300210319499269,7.481207188649885,5.731570018917595,6.153895854949951,6458426,50.38832675734264
44,2013-09-01,DHANI,6.95901888403201,7.456092113392651,6.561360806704855,7.290401458740234,3595301,56.02786659682303
45,2013-10-01,DHANI,7.290402093344787,12.26113102342596,7.190987565359304,9.908319473266602,23341002,65.70001355045765
46,2013-11-01,DHANI,10.568873981841543,14.28035032499586,10.3214413707809,13.750140190124512,13230276,74.54782691899973
47,2013-12-01,DHANI,13.750139485830193,16.15376215018363,13.750139485830193,14.633824348449709,16395096,76.07648928938605
48,2014-01-01,DHANI,14.77521310524765,15.623551687911792,13.96222348201192,14.068264961242676,15291819,73.05245071803095
49,2014-02-01,DHANI,13.325970960607815,14.06826538697732,11.84137940834149,12.725064277648926,5798105,66.31076822733353
50,2014-03-01,DHANI,13.323914991738777,14.291573717698354,12.988957076555849,13.398350715637209,10871627,67.90942295837884
51,2014-04-01,DHANI,13.584437246014522,17.306201751129375,13.398349376053744,16.822372436523438,12662007,74.52900789009873
52,2014-05-01,DHANI,16.82237330506537,22.107278180363075,14.2543565877159,18.79490852355957,16428991,77.41883998477054
53,2014-06-01,DHANI,19.781863124019036,23.94851634751702,19.314575217771168,21.49525260925293,25734438,80.6546446268543
54,2014-07-01,DHANI,21.61207477156172,22.15724447710681,18.76940501377665,19.353515625,17642495,71.8593382589328
55,2014-08-01,DHANI,19.80063545151868,20.56998522251225,18.950301005825597,19.11227035522461,8043807,70.92118257899071
56,2014-09-01,DHANI,19.76014298034716,22.270653963074707,18.95030087748833,19.355222702026367,11161114,71.32716691763883
57,2014-10-01,DHANI,19.976652362386247,22.33676438512288,19.723783446997068,21.114564895629883,8007560,74.14251866485313
58,2014-11-01,DHANI,21.788878478558505,23.60110572518965,20.650967710706947,20.988126754760746,15565759,73.58333562089449
59,2014-12-01,DHANI,20.988128961671087,21.578155339146743,18.122280809188723,19.59734916687012,8175359,67.5484848400436
60,2015-01-01,DHANI,19.51305487664692,27.141268790485764,19.470909799436875,24.48614501953125,28183591,75.23668591583245
61,2015-02-01,DHANI,25.287655194189032,35.99464879283773,24.46069238206617,34.90653991699219,30726748,83.95973416506762
62,2015-03-01,DHANI,34.73244486464379,34.77596948989873,28.07321708879249,30.46705818176269,13519643,72.27820618341411
63,2015-04-01,DHANI,30.29296175804228,35.68998574363269,30.205912501563105,34.03605651855469,9801366,75.258465080139
64,2015-05-01,DHANI,34.03605424104396,35.25473710217835,30.72820266025801,31.20697021484375,5946913,68.93230737973455
65,2015-06-01,DHANI,32.15683283553013,33.586027073557034,28.762500783861142,31.620885848999023,5529979,69.33840432961638
66,2015-07-01,DHANI,31.978180128339783,35.193861445620406,31.26358314308344,31.799530029296875,9098221,69.523564098517
67,2015-08-01,DHANI,32.68530943206219,32.96074555190541,23.963105451951822,29.01280212402344,7687481,63.120167546469254
68,2015-09-01,DHANI,29.609583926343436,30.160459661768893,26.350234364273355,29.05870819091797,3920732,63.18032902144305
69,2015-10-01,DHANI,29.10461471357387,33.78706020465583,24.83532514643248,25.15666961669922,11230691,54.971630412018
70,2015-11-01,DHANI,24.881234041376334,26.074798825736487,23.27451329502289,24.973047256469727,5761512,54.612047062642866
71,2015-12-01,DHANI,25.53074843542204,26.13862344068319,22.67841297107136,23.33304786682129,13264177,51.3794385377079
72,2016-01-01,DHANI,23.33304836291307,25.437230980820456,19.171443018581243,20.761268615722656,10210873,46.71015104359123
73,2016-02-01,DHANI,20.387191756991506,20.667749302480885,16.552902326059268,16.69318199157715,5208368,40.44830013800288
74,2016-03-01,DHANI,17.22133091136638,19.56534470644232,13.25085755806254,13.77706527709961,24767923,36.65494568702133
75,2016-04-01,DHANI,13.87273731051691,16.886470600993825,12.48546440147493,16.36026382446289,27549460,41.85681610078326
76,2016-05-01,DHANI,16.408100555552576,21.86152102846848,13.633553008977932,18.895626068115234,30872761,46.50050791412201
77,2016-06-01,DHANI,18.79995296112017,23.82284170066254,17.221330733644326,23.10528564453125,33159315,53.185981047999995
78,2016-07-01,DHANI,23.583655400206013,33.2467337294673,23.20095874042753,28.36735725402832,71478999,59.92704328131008
79,2016-08-01,DHANI,28.702218108478117,29.51544695481043,24.97092958997401,26.693063735961918,15879422,57.109192726795456
80,2016-09-01,DHANI,26.69306157448058,28.5587038559732,23.20095807865007,24.01418685913086,12402171,52.828908720236086
81,2016-10-01,DHANI,24.25337330161313,27.171430898204257,23.96635127287775,24.109861373901367,10063792,52.96449650355305
82,2016-11-01,DHANI,24.779583345884404,25.06660541279782,18.13023483789884,21.28747940063477,8776203,48.53266742052501
83,2016-12-01,DHANI,21.622336306096543,21.765846409768557,17.699700623197597,19.613182067871094,4412294,46.06993496755013
84,2017-01-01,DHANI,19.613181473187257,21.38315093383399,19.134810213179303,19.2783203125,4412822,45.57185687034805
85,2017-02-01,DHANI,19.517509749335197,39.22636876171651,19.18265036569288,35.447242736816406,70429822,65.15898761266173
86,2017-03-01,DHANI,35.686424005660946,55.873653411865234,33.58159682336821,55.873653411865234,76558887,76.61051876280884
87,2017-04-01,DHANI,59.90002478238642,122.38952901197857,59.90002478238642,108.07411193847656,84288075,87.71925222520602
88,2017-05-01,DHANI,108.0741083049861,154.00071196645655,99.96366154532004,153.02354431152344,82325763,91.47425866836517
89,2017-06-01,DHANI,154.39158333451704,194.8460865702316,142.76336254362522,158.25137329101562,77379271,91.78872790167574
90,2017-07-01,DHANI,160.25456164571617,198.3150120141568,157.32307348673555,186.83335876464844,55265774,93.2538053495836
91,2017-08-01,DHANI,188.5433932314629,216.92994289175397,163.8212000086813,214.6336212158203,60206106,94.31608507711627
92,2017-09-01,DHANI,215.95280084364364,288.2627804196788,193.7712126553756,249.61602783203125,86662502,95.31565725725643
93,2017-10-01,DHANI,249.6160337864292,295.0052000542027,249.6160337864292,279.37060546875,67245856,95.96554746317084
94,2017-11-01,DHANI,280.445498363808,299.9887336754286,235.00745238360605,266.0812072753906,49616159,89.9622761530063
95,2017-12-01,DHANI,269.3058496194534,276.5368312627696,228.02074355447587,259.3876342773437,24179880,87.00985410851523
96,2018-01-01,DHANI,260.51139926856723,283.2792734720851,237.01064179120783,239.7955474853516,31515498,78.85264415151032
97,2018-02-01,DHANI,241.6521359666285,265.56847553573306,205.20400515121065,252.99920654296875,38363606,80.19986745559142
98,2018-03-01,DHANI,251.3852803669617,272.2199239589785,231.33314710811845,238.57147216796875,43385412,74.60679534153743
99,2018-04-01,DHANI,238.6692816694328,479.2948689263199,238.6692816694328,471.6163635253906,125214447,88.52604816535778
100,2018-05-01,DHANI,471.6163647909192,532.1151212154577,384.8053041146841,457.0907897949219,52599587,85.38441544634416
101,2018-06-01,DHANI,450.8314154893373,501.1089070356195,390.3611897523693,477.9302978515625,16772818,86.14414084334116
102,2018-07-01,DHANI,482.1935765703386,588.9230323850012,442.9908467678721,586.080810546875,8954590,89.26329744717077
103,2018-08-01,DHANI,588.0409696841991,803.4599662814533,573.4379283429265,756.2697143554688,10262473,92.22821113616321
104,2018-09-01,DHANI,749.7522249119922,784.0546142870508,528.1588134765625,528.1588134765625,5192919,65.94309318129461
105,2018-10-01,DHANI,501.79493311427655,501.79493311427655,350.47240457886426,420.3512573242188,26672128,57.589433198161736
106,2018-11-01,DHANI,425.5946571339396,462.3962096500758,372.42595212641805,394.4284973144531,12356307,55.76028380835481
107,2018-12-01,DHANI,394.9675198500274,421.4293636116918,317.64013795058145,379.3354187011719,13369333,54.6714828266139
108,2019-01-01,DHANI,382.2266279748921,408.4924458309811,278.63339914720365,333.4682312011719,14121846,51.387577465467224
109,2019-02-01,DHANI,334.00726095564767,366.49654866618647,251.0444862666623,274.027099609375,15553197,47.41295026097612
110,2019-03-01,DHANI,279.22144518584827,336.9474605229688,261.67822906907213,319.6492614746094,21984076,50.572877345284375
111,2019-04-01,DHANI,323.4225249348571,355.4707689148532,280.34851305935456,290.8842468261719,30410172,48.590338957427576
112,2019-05-01,DHANI,290.8842382485257,351.74648121886685,233.89327674439596,290.63922119140625,27937086,48.57287151472708
113,2019-06-01,DHANI,291.20346308596726,313.53563256833627,205.17055106507064,269.904296875,27580242,47.03206171953699
114,2019-07-01,DHANI,271.1340377863988,337.6877953886017,213.53280996252693,236.0125274658203,28487956,44.54476066711153
115,2019-08-01,DHANI,241.02988279097423,243.9812691108637,161.44083770256543,175.70587158203125,43466799,40.44588824367194
116,2019-09-01,DHANI,175.70587102857672,196.6607018245649,121.8430633544922,121.8430633544922,54622632,37.157224525350166
117,2019-10-01,DHANI,109.69319809774264,119.28520420942866,76.8836197194361,99.2157745361328,37177570,35.83888348452191
118,2019-11-01,DHANI,101.18336339819714,183.8713688100559,100.15038264988766,168.4749755859375,17906595,42.5570516207045
119,2019-12-01,DHANI,168.22901850716298,210.8765563964844,144.6179281903682,210.8765563964844,40486706,46.26653202427647
120,2020-01-01,DHANI,216.48420343612392,219.5831532659436,169.2620192924144,173.59071350097656,30349505,43.600216134099085
121,2020-02-01,DHANI,172.26258511440787,225.87943583676048,144.86387649296188,167.19602966308594,42712404,43.141023520924385
122,2020-03-01,DHANI,183.8713607493913,219.63233080701428,97.64169689852706,105.95476531982422,27591986,38.91411223888733
123,2020-04-01,DHANI,107.0999984741211,112.3499984741211,92.5500030517578,107.0500030517578,9604568,39.029166776265065
124,2020-05-01,DHANI,107.0500030517578,109.9000015258789,63.5,70.5999984741211,16440856,36.561104887725655
125,2020-06-01,DHANI,70.0,121.8499984741211,69.94999694824219,118.0500030517578,32740148,41.72713017451552
126,2020-07-01,DHANI,116.0,135.8000030517578,104.8499984741211,114.0500030517578,44274233,41.4209133809705
127,2020-08-01,DHANI,116.0,240.9499969482422,112.0,196.75,51184128,49.648184476243756
128,2020-09-01,DHANI,197.1000061035156,253.5,182.3500061035156,249.9499969482422,45532083,54.1129077645564
129,2020-10-01,DHANI,253.8000030517578,277.20001220703125,178.25,196.75,20479475,49.39601492602906
130,2020-11-01,DHANI,195.4499969482422,286.79998779296875,180.5500030517578,281.75,15493677,55.99595166869723
131,2020-12-01,DHANI,285.0,345.0,246.8000030517578,321.6499938964844,24714457,58.71775621504336
132,2021-01-01,DHANI,321.6499938964844,395.9500122070313,294.1499938964844,341.20001220703125,27623954,60.02253991635149
133,2021-02-01,DHANI,339.0,376.1000061035156,328.04998779296875,362.0,18275384,61.419685267785
134,2021-03-01,DHANI,365.0,378.8999938964844,168.10000610351562,168.10000610351562,75443253,45.467318332144224
135,2021-04-01,DHANI,163.9499969482422,228.0,155.10000610351562,176.5500030517578,56591222,46.124032022802076
136,2021-05-01,DHANI,178.6999969482422,184.0,165.4499969482422,174.35000610351562,15677242,45.968817356404045
137,2021-06-01,DHANI,175.0,214.8000030517578,167.3000030517578,177.9499969482422,24968143,46.28734425868315
138,2021-07-01,DHANI,179.64999389648438,242.8999938964844,172.39999389648438,230.1000061035156,53536853,50.81116948211745
139,2021-08-01,DHANI,232.1000061035156,238.4499969482422,175.0,199.3999938964844,28318193,48.2356425113476
140,2021-09-01,DHANI,196.0,211.0,176.39999389648438,183.3000030517578,22793898,46.89322148878779
141,2021-10-01,DHANI,183.1499938964844,232.0,175.5,177.60000610351562,65540341,46.40086414168273
142,2021-11-01,DHANI,180.0,193.6499938964844,161.6999969482422,165.39999389648438,33308189,45.30443295921442
143,2021-12-01,DHANI,165.5500030517578,178.6999969482422,139.1999969482422,165.60000610351562,48421412,45.32724201001874
144,2022-01-01,DHANI,164.0,166.5,122.5999984741211,131.39999389648438,28988494,42.094749997927
145,2022-02-01,DHANI,132.9499969482422,160.89999389648438,67.05000305175781,78.5999984741211,368720469,37.63268696702505
146,2022-03-01,DHANI,78.5999984741211,82.3499984741211,58.09999847412109,62.34999847412109,166826007,36.355421659843984
147,2022-04-01,DHANI,62.34999847412109,74.30000305175781,50.54999923706055,55.5,64264706,35.8037681106847
148,2022-05-01,DHANI,54.400001525878906,58.29999923706055,40.0,50.09999847412109,58509049,35.34840779623839
149,2022-06-01,DHANI,50.25,50.75,28.5,35.849998474121094,81335949,34.11535409505812
150,2022-07-01,DHANI,37.59999847412109,41.29999923706055,29.649999618530277,41.29999923706055,99187132,35.04853844070155
151,2022-08-01,DHANI,42.20000076293945,71.44999694824219,41.84999847412109,65.3499984741211,91805733,39.14476845142361
152,2022-09-01,DHANI,65.0999984741211,72.0,46.5,48.0,53408148,37.31639805325128
153,2022-10-01,DHANI,48.45000076293945,60.25,42.59999847412109,57.09999847412109,27551875,38.92764346183777
154,2022-11-01,DHANI,56.79999923706055,60.5,44.79999923706055,47.09999847412109,38459498,37.77844460328142
155,2022-12-01,DHANI,47.34999847412109,49.25,34.5,41.400001525878906,63247233,37.10602432276243
156,2023-01-01,DHANI,43.0,43.0,32.849998474121094,34.0,37096160,36.205059438411254
157,2023-02-01,DHANI,34.400001525878906,37.45000076293945,30.25,30.600000381469727,38872791,35.77524813111573
158,2023-03-01,DHANI,30.600000381469727,32.79999923706055,23.600000381469727,26.549999237060547,45127579,35.238601755857125
159,2023-04-01,DHANI,26.75,42.900001525878906,26.549999237060547,38.400001525878906,201623651,38.16149207888075
160,2023-05-01,DHANI,38.400001525878906,41.5,32.54999923706055,34.75,52095884,37.59859727421945
161,2023-06-01,DHANI,34.45000076293945,35.599998474121094,32.849998474121094,33.0,52745313,37.314407706199816
162,2023-07-01,DHANI,33.25,42.20000076293945,29.899999618530277,37.650001525878906,154960033,38.64152939084039
163,2023-08-01,DHANI,37.900001525878906,49.09999847412109,37.650001525878906,48.59999847412109,137575407,41.76797235595263
164,2023-09-01,DHANI,48.900001525878906,49.0,40.0,42.04999923706055,28659223,40.44056229669336
165,2023-10-01,DHANI,42.04999923706055,44.650001525878906,35.70000076293945,38.150001525878906,12713677,39.63290812920957
166,2023-11-01,DHANI,37.79999923706055,42.54999923706055,37.54999923706055,40.04999923706055,14323006,40.258880291483734
167,2023-12-01,DHANI,40.25,44.5,38.150001525878906,38.79999923706055,48575408,39.96526472405723
168,2024-01-01,DHANI,38.95000076293945,43.0,36.79999923706055,38.400001525878906,40015592,39.86507063507394
169,2024-02-01,DHANI,38.59999847412109,45.900001525878906,35.099998474121094,38.900001525878906,121757678,40.06733537259295
170,2024-03-01,DHANI,39.29999923706055,42.900001525878906,33.25,38.04999923706055,101478381,39.82211729048679
171,2024-04-01,DHANI,38.5,54.95000076293945,38.5,52.04999923706055,225047901,45.71508199965981
172,2024-05-01,DHANI,52.04999923706055,56.79999923706055,44.400001525878906,45.59999847412109,106710902,43.596873548723465
173,2024-06-01,DHANI,47.5,53.59999847412109,37.0,49.97999954223633,109145146,45.445457775107656
174,2024-07-01,DHANI,50.0,62.2599983215332,49.79999923706055,55.34000015258789,173105309,47.70425739349809
175,2024-08-01,DHANI,55.630001068115234,63.0,49.20000076293945,57.40999984741211,109836047,48.58955297289949
176,2024-09-01,DHANI,57.84999847412109,57.900001525878906,48.40999984741211,52.2599983215332,56201039,46.48130341099679
177,2024-10-01,DHANI,52.400001525878906,69.0,47.04999923706055,57.369998931884766,184043229,48.85267868207135
178,2024-11-01,DHANI,57.7400016784668,80.9000015258789,57.5,77.43000030517578,141588416,56.92212474117328
179,2024-12-01,DHANI,77.4000015258789,101.62999725341795,76.0,93.9000015258789,156832460,62.19574516248883
180,2025-01-01,DHANI,94.5,109.87999725341795,71.25,78.44000244140625,129815841,55.346464079534016
