date,symbol,open,high,low,close,volume
2010-01-01,STYRENIX,125.15190913759429,151.9701753813645,110.71130423710264,119.65072631835938,185707
2010-02-01,STYRENIX,123.77658530439396,139.0423620600683,114.32142948253053,120.9228515625,22125
2010-03-01,STYRENIX,120.92285644591287,198.55828027781504,120.92285644591287,181.7452850341797,502852
2010-04-01,STYRENIX,183.60193432567482,247.14057706378372,182.39855086099342,235.31304931640625,173036
2010-05-01,STYRENIX,243.52839069003002,243.52839069003002,199.1397276264434,210.10633850097656,45746
2010-06-01,STYRENIX,209.82780960742713,263.19864086666814,203.3174686059976,260.030517578125,286858
2010-07-01,STYRENIX,264.5912751574506,289.5881834817019,257.6283468638335,262.1890563964844,377710
2010-08-01,STYRENIX,261.1098692389838,286.1764166859262,234.82480906892607,235.555908203125,95776
2010-09-01,STYRENIX,242.3099033998769,250.38690442970696,228.03590046971175,231.3780975341797,53984
2010-10-01,STYRENIX,231.86553746632788,290.35414151188803,229.84629229078007,262.5372314453125,106903
2010-11-01,STYRENIX,267.8638629099403,285.4800631874486,244.0506393834164,264.5912780761719,92632
2010-12-01,STYRENIX,268.072699246966,291.05035918242027,244.0506002235366,262.5719909667969,34571
2011-01-01,STYRENIX,278.16903708107,288.8919443983151,254.21656354470016,259.1602478027344,73740
2011-02-01,STYRENIX,260.4135013812464,295.2281406033382,214.52781113636337,237.05288696289062,91357
2011-03-01,STYRENIX,238.82845171968563,270.7882898428354,236.73957313321608,259.9261169433594,34086
2011-04-01,STYRENIX,261.840909230443,400.3683757341152,261.840909230443,358.2774658203125,174993
2011-05-01,STYRENIX,370.4506892022778,388.90305398242316,328.3540199747462,373.2922058105469,55099
2011-06-01,STYRENIX,372.5555470311077,507.7560337744065,369.398296632539,433.4203186035156,1287538
2011-07-01,STYRENIX,441.27824682839974,478.498701798108,427.2810988197181,435.4197692871094,161206
2011-08-01,STYRENIX,421.9488755756098,442.01493319131026,350.87566791558623,371.1522216796875,48970
2011-09-01,STYRENIX,371.15224702501894,425.87790915725236,362.94338914059585,404.6541748046875,51549
2011-10-01,STYRENIX,392.9021441431093,449.03102187783924,387.99086734132044,442.1552429199219,80739
